,created_at,tweets
80,2019-12-13 16:56:45,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
81,2019-12-13 16:53:42,"RT @IUHoosiers: Enhance the atmosphere. 

Retweet to win one of five sets of tickets to #IUBB-Nebraska this Friday. https://t.co/Cu7OIoUlGw"
82,2019-12-13 16:47:00,"RT @IndianaWBB: Sunday afternoon basketball on tap for No. 12 #iuwbb as Youngstown State comes to town ⚪️🔴

📝https://t.co/SlWn0M3ewe
🎟️http…"
83,2019-12-13 16:39:39,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
84,2019-12-13 16:37:47,"RT @IUHoosiers: Enhance the atmosphere. 

Retweet to win one of five sets of tickets to #IUBB-Nebraska this Friday. https://t.co/Cu7OIoUlGw"
85,2019-12-13 16:32:58,"Sunday afternoon basketball on tap for No. 12 #iuwbb as Youngstown State comes to town ⚪️🔴

📝… https://t.co/dQS97faK8b"
86,2019-12-13 16:29:00,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
87,2019-12-13 16:20:06,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
88,2019-12-13 16:14:37,This is the greatest picture in the history of Indiana University mens basketball. If you are not in agreement you… https://t.co/xjgnBuFMe8
89,2019-12-13 16:05:11,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
90,2019-12-13 15:55:05,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
91,2019-12-13 15:52:16,"RT @IndianaMSOC: NEWS ➡️ Jack Maher and Aidan Morris have been named @UnitedCoaches All-Americans.

📝 https://t.co/R5lKYTnbbp

#IUMS | #GoI…"
92,2019-12-13 15:44:40,"RT @IndianaMSOC: NEWS ➡️ Jack Maher and Aidan Morris have been named @UnitedCoaches All-Americans.

📝 https://t.co/R5lKYTnbbp

#IUMS | #GoI…"
93,2019-12-13 15:37:39,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
94,2019-12-13 15:26:07,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
95,2019-12-13 15:25:53,"RT @IndianaMBB: ⏰: 8:00p
📺: @BigTenNetwork 
📻: https://t.co/RmxnrXw3fo
📱: @IndianaMBB https://t.co/JgR1S1iMPV"
