,created_at,tweets
181,2019-12-11 04:01:21,RT @indiana_edits: All the little piss ants saying we need to “get over this” can f right off. for a whole generation of Hoosier fans (incl…
182,2019-12-11 04:00:50,RT @IUBarstool: Half time mood. #IUBB https://t.co/G9R3T7Qdt4
183,2019-12-11 04:00:28,RT @IUBarstool: Half time mood. #IUBB https://t.co/G9R3T7Qdt4
184,2019-12-11 03:59:00,This the last great thing that done happened to this school basketball wise https://t.co/cZfg1jdKTV
185,2019-12-11 03:58:30,RT @JeffMercer54: A moment all Hoosiers remember where they were when Wat hit the shot. I was at a restaurant in Cleveland after working a…
186,2019-12-11 03:56:49,RT @IUBarstool: Half time mood. #IUBB https://t.co/G9R3T7Qdt4
187,2019-12-11 03:55:25,RT @IUBarstool: Half time mood. #IUBB https://t.co/G9R3T7Qdt4
188,2019-12-11 03:54:18,RT @IUBarstool: Half time mood. #IUBB https://t.co/G9R3T7Qdt4
189,2019-12-11 03:53:54,RT @IUBarstool: Half time mood. #IUBB https://t.co/G9R3T7Qdt4
190,2019-12-11 03:52:59,Personal favorite GW I’ve ever seen https://t.co/B8eohJyp5R
191,2019-12-11 03:51:05,"I cheer for IU only when they play UK. Suck it, Kentucky. https://t.co/0q6D4Yvlj5"
192,2019-12-11 03:51:04,RT @IUBarstool: Half time mood. #IUBB https://t.co/G9R3T7Qdt4
193,2019-12-11 03:50:18,RT @IUBarstool: Half time mood. #IUBB https://t.co/G9R3T7Qdt4
194,2019-12-11 03:49:57,RT @IUBarstool: Half time mood. #IUBB https://t.co/G9R3T7Qdt4
195,2019-12-11 03:49:56,#NeverForget https://t.co/AfwlKfkrOb
196,2019-12-11 03:49:35,RT @IUBarstool: Half time mood. #IUBB https://t.co/G9R3T7Qdt4
197,2019-12-11 03:49:28,RT @IUBarstool: Half time mood. #IUBB https://t.co/G9R3T7Qdt4
198,2019-12-11 03:48:21,RT @IUBarstool: Half time mood. #IUBB https://t.co/G9R3T7Qdt4
199,2019-12-11 03:48:11,RT @IUBarstool: Half time mood. #IUBB https://t.co/G9R3T7Qdt4
200,2019-12-11 03:48:06,RT @IUBarstool: Half time mood. #IUBB https://t.co/G9R3T7Qdt4
201,2019-12-11 03:47:34,RT @IUBarstool: Half time mood. #IUBB https://t.co/G9R3T7Qdt4
202,2019-12-11 03:47:31,RT @IUBarstool: Half time mood. #IUBB https://t.co/G9R3T7Qdt4
203,2019-12-11 03:47:08,RT @IUBarstool: Half time mood. #IUBB https://t.co/G9R3T7Qdt4
204,2019-12-11 03:46:39,RT @IUBarstool: Half time mood. #IUBB https://t.co/G9R3T7Qdt4
205,2019-12-11 03:45:47,@musiciswavyair @IUBarstool Google just doesn’t go back that far in history.
206,2019-12-11 03:45:43,RT @IUBarstool: Half time mood. #IUBB https://t.co/G9R3T7Qdt4
207,2019-12-11 03:45:28,Phinisee = 🔑 https://t.co/ew2eLFrviV
208,2019-12-11 03:45:26,@IUBarstool That one is actually funny
209,2019-12-11 03:45:16,RT @IUBarstool: Half time mood. #IUBB https://t.co/G9R3T7Qdt4
210,2019-12-11 03:45:13,RT @IUBarstool: Half time mood. #IUBB https://t.co/G9R3T7Qdt4
211,2019-12-11 03:45:11,RT @IUBarstool: Half time mood. #IUBB https://t.co/G9R3T7Qdt4
212,2019-12-11 03:44:55,@CatsWhoDab20 @IUBarstool Won what? 02 was runner up. Last championship was in 1987.
213,2019-12-11 03:44:55,Half time mood. #IUBB https://t.co/G9R3T7Qdt4
214,2019-12-11 03:42:14,Tom crean still with one of the best WTF just happened looks ever 😂 https://t.co/SugFNFBw7x
215,2019-12-11 03:41:36,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
216,2019-12-11 03:41:28,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
217,2019-12-11 03:40:56,RT @IUBarstool: LFG #IUBB https://t.co/jXN0mQS6w9
218,2019-12-11 03:40:34,RT @IUBarstool: LFG #IUBB https://t.co/jXN0mQS6w9
219,2019-12-11 03:40:22,LFG #IUBB https://t.co/jXN0mQS6w9
220,2019-12-11 03:38:16,@IUBarstool How many point would we be up if we didn’t keep turning over our fast breaks?..
221,2019-12-11 03:37:45,JUSTIN SMITH FROM DEEP #IUBB
222,2019-12-11 03:35:54,@Hsu563 @IUBarstool @barstool_usi
223,2019-12-11 03:35:06,still won the natty 🤷🏼‍♂️🤷🏼‍♂️ https://t.co/jNPAaV2PQr
224,2019-12-11 03:29:25,@IUBarstool https://t.co/VVpEretJuI
225,2019-12-11 03:27:29,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
226,2019-12-11 03:26:04,Can we get one stop? Please I’m begging #IUBB
227,2019-12-11 03:22:33,@callmejake___ @IUBarstool
228,2019-12-11 03:21:12,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
229,2019-12-11 03:16:26,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
230,2019-12-11 03:14:47,@ngudgel13 https://t.co/HVHKdONO0S
231,2019-12-11 03:10:31,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
232,2019-12-11 03:09:55,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
233,2019-12-11 03:08:23,"As if this moment in time wasn’t already legendary enough, Dick Vitale’s commentary makes it that much better. https://t.co/efnBBt5l5R"
234,2019-12-11 03:05:24,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
235,2019-12-11 03:05:05,I love this video 😂😂 https://t.co/9sPkEpTYab
236,2019-12-11 03:04:47,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
237,2019-12-11 03:04:08,@IUBarstool Get joey brunk out of the damn game
238,2019-12-11 03:03:17,Step it up. #IUBB
239,2019-12-11 03:02:14,"Coming from a person with a hatred for IU, I still can’t look past the legendary combination of Tom Crean’s facial… https://t.co/xAOuF5ijKn"
240,2019-12-11 02:53:43,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
241,2019-12-11 02:51:33,"Oh well, beat them in March madness and won the natty so🤷‍♂️ https://t.co/6UE8pgnIcQ"
242,2019-12-11 02:50:17,@IUBarstool I’m seeing tweets from people claiming to be IU basketball fans saying this moment needs to be put away… https://t.co/DWz8w809hg
243,2019-12-11 02:50:13,Craziest atmosphere I’ve ever seen at any sporting event. It was so loud that my ears were popping on the entire ri… https://t.co/gZBBmxX6F7
244,2019-12-11 02:43:59,🔂 All Day https://t.co/02Zsmhuhiy
245,2019-12-11 02:41:16,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
246,2019-12-11 02:41:09,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
247,2019-12-11 02:38:55,Never.Gets.Old https://t.co/aG0xk8Jwi8
248,2019-12-11 02:38:39,@IUBarstool Never gets old!
249,2019-12-11 02:38:11,@JiB117 I’m going to need you to remake this. https://t.co/GX91ifSJyk
250,2019-12-11 02:35:07,My favorite video of all time https://t.co/kj1blVzrYp
251,2019-12-11 02:34:50,LFG Hoosiers #iubb https://t.co/DPxfGRKVnF
252,2019-12-11 02:30:20,RT @JeffMercer54: A moment all Hoosiers remember where they were when Wat hit the shot. I was at a restaurant in Cleveland after working a…
253,2019-12-11 02:30:07,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
254,2019-12-11 02:29:04,RT @Allie_Bland: There will never be a moment when this isn’t cool. #WatShot https://t.co/Y3BVdsHfgA
255,2019-12-11 02:26:42,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
256,2019-12-11 02:22:42,@swimfan1122 @IUBarstool 03 I believe we won
257,2019-12-11 02:18:10,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
258,2019-12-11 02:05:44,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
259,2019-12-11 02:01:12,I will forever share this https://t.co/LGdN3SnMuC
260,2019-12-11 02:00:34,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
261,2019-12-11 02:00:28,RT @IUBarstool: Indiana fans on “The Shot” anniversary every year #IUBB https://t.co/df5xFcrRBK
262,2019-12-11 01:59:26,RT @indiana_edits: All the little piss ants saying we need to “get over this” can f right off. for a whole generation of Hoosier fans (incl…
